[2018-10-14 07:16:17]  mm exchange .INFO: Home page request [] []
[2018-10-14 07:40:55]  mm exchange .INFO: Home page request [] []
[2018-10-14 12:18:02]  mm exchange .INFO: Home page request [] []
[2018-10-14 13:28:01]  mm exchange .INFO: Home page request {"fbclid":"IwAR3HNleaUJo4JYsrBH2NZy_RiVLchXKdGMbGJxOiPuBImCpAN8rbQ73PYYA"} []
[2018-10-14 13:29:40]  mm exchange .ERROR: Unknow url /mmexchange/resources/css/bootstrap.min.css.map {"Request application ":"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:51.0) Gecko/20100101 Firefox/51.0","Request client ip ":null,"Request client host ip ":"65.18.120.214"} []
[2018-10-14 13:30:02]  mm exchange .INFO: Home page request {"fbclid":"IwAR3HNleaUJo4JYsrBH2NZy_RiVLchXKdGMbGJxOiPuBImCpAN8rbQ73PYYA"} []
[2018-10-14 13:30:12]  mm exchange .ERROR: Unknow url /mmexchange/resources/js/popper.min.js.map {"Request application ":"Mozilla/5.0 (Linux; U; Android 4.3; en-us; SM-N900T Build/JSS15J) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30","Request client ip ":null,"Request client host ip ":"65.18.120.214"} []
[2018-10-14 13:30:12]  mm exchange .ERROR: Unknow url /mmexchange/resources/css/bootstrap.min.css.map {"Request application ":"Mozilla/5.0 (Linux; U; Android 4.3; en-us; SM-N900T Build/JSS15J) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30","Request client ip ":null,"Request client host ip ":"65.18.120.214"} []
[2018-10-14 13:42:43]  mm exchange .INFO: Home page request {"fbclid":"IwAR3HNleaUJo4JYsrBH2NZy_RiVLchXKdGMbGJxOiPuBImCpAN8rbQ73PYYA"} []
[2018-10-14 13:42:44]  mm exchange .INFO: Home page request {"fbclid":"IwAR3HNleaUJo4JYsrBH2NZy_RiVLchXKdGMbGJxOiPuBImCpAN8rbQ73PYYA"} []
[2018-10-14 23:15:24]  mm exchange .INFO: Home page request [] []
